text,label
illegal aliens are still wait for it in the country illegally that is the only point that matters deport👏🏿 them👏🏿 all👏🏿,__label__2
please deport this convicted criminal named dinesh,__label__2
un or eu flags for our globalist democrats let's deport them a plane is leaving right now,__label__2
we need to deport all the supporters of this bill first kick em right outta the east door about sixty miles,__label__2
fire him and his brother strip him of his rank and then deport him he is an enemy of the state ukraine has a job waiting for him let him take it strip him of his citizenship,__label__2
deport him back to the ukraine,__label__2
only way to even attempt to cover medicare for all is to deport all illegals otherwise no we can’t,__label__2
then the president and senate need to stop these fucking democrats in their fuckin tracks this country is already being invaded by illegal aliens they are taking all the housing and jobs and americans are the ones suffering for it deport the motherfuckers,__label__2
deport every supporter immediately,__label__2
ms13 = terrorist organization solutions -lock 'em all up -deport and lock up -or kill them all pureevil demons,__label__2
good toss him in the joint then deport him if he ever gets out i hate bullies,__label__2
you are not fit to serve the americans you hate and hopefully you will be behind bars for treason=you love you illegals=we can deport you with them with only the clothes on your back=take your pick,__label__2
refusing to deport deportable criminals is also punishing new yorkers,__label__2
constitutional duty is to deport those not willing to assimilatego develop your own country,__label__2
women in tech can learn what it's it is like to lose their job to an h1b visa imports from india openbordersinc americafirst,__label__2
good afternoon america another beautiful day in arizona the house speaker democratic's 'demand' the american people to forget their behaviors failures america first secure our borders deport illegal immigrants deport gangs drug traffickers,__label__2
reevaluate every scammy indian on h1b in us and discover that 90%+ have lied in some shape or formdeport the stinky scammers time to act was yesterday,__label__2
there is no point in trying to talk to themdeport them,__label__2
should look into uk's illegal moves to deport british citizens or just remove their citizenship whenever it feels like,__label__2
i would agree to deport any criminals who came to uk as adults but not children i do not agree to deport them to the country of their ancestors otherwise we would have loads of criminals from australia canada new zealand etc in uk,__label__2
if they are criminals deport them if they did not want to be deported they should not have committed the crime,__label__2
please deport that hideously unhealthy fascist back where it came from we do not need foreigners coming here with their anti-american values and promoting the destruction of our civil rights,__label__2
deport all illegals,__label__2
the iranian communist mek terrorists have murdered american military officers american managers and thousands of iranians and iraqis deport all of these terrorists and prosecute all democrats and republicans who have accepted gifts or money from the supporters,__label__2
last i checked you're you are in congress this has two easy fixes change the law so corporations pay more they do payroll taxes etc and deport the undocumented problemsolved,__label__2
no illegals have no right i came ligally they must be deport immediately i’m latino stop the invasion i have enemies because my positio and i don’t care,__label__2
police did their sworn duty to enforce law and order arrest the tourist and deport her now withpolicemv,__label__2
death they'd choose death deport them all,__label__2
keep exposing the left ann good for you you were right about trump and on target on this as usual trump 2020 deport illegals,__label__2
backstabbing traitor gotta strip him of us citizenship and deport his stinky ukrainian azz back to strange place called 'kukliandia',__label__2
ilhan omar blames americans for catastrophic flooding in other countries the sooner we deport this domestic terrorist for the many crimes she is committed the less dimwitted static noise there will be america hating jihadists should never be allowed in,__label__2
usa homelessness could be 0 poverty in all communities 0 unemployment 0 deficit 0 usa could help all countries achieve same if usa ends all refugees immigration programs invasion replace with temp visa deport all illegals americafirst maga,__label__2
build the wall deport them all,__label__2
shes an idiotwould someone please deport this jerk,__label__2
the only way to deal with illegals is to deport them if they want to come and live here let them go through the process like i and millions of others had to anyway comparing them to multi-billion dollar companies who create 1000s of jobs is a weak stupid argument,__label__2
give him free healthcare before you deport him,__label__2
deport them back,__label__2
good morning america another beautiful day in arizona house speaker democratic's have been corrupted by trojan-horses they have continue to disrupt america's democracy drain the swamps and deep state actors america first deport all illegal immigrants,__label__2
thanks please turn those records over to so that we can deport them all,__label__2
sad that we can’t just deport them before they commit a crime this shouldn’t be a question,__label__2
deport and replatform,__label__2
deport them or send them to gitmo,__label__2
the sad thing is russian republicans do not care one bit what americans think they are the lowest form of human scum to walk this earth wish we could deport each one to russia,__label__2
listen to this invader / refugee muslim american hating traitor to her position in government investigate and deport her and her whole community in minnesota,__label__2
why don't do not we just deport you all back to the countries you came from that would stop all the mess you've created let's lock your kids in cages and you too the ones who put them in there should be in prison for child abuse and neglect,__label__2
wish we could deport you,__label__2
hope they deport you,__label__2
deport the jerkoh no this is ontariolets get him on the road again so we can make more money,__label__2
/ let's look at that santurary cities give immigrants the most rights they break the law / they are not deported in california alone almost 50% have been arrested again for rape aggravated assault burglary drugs ice is not allowed to deport,__label__2
nah - just deport them end of story,__label__2
from tucson you have to get rid of the destructive new way forward act it's it is dangerous for az we are frightened enough living so close to a practically open border we need that wall we need illegals out of our country if they want to be here - do it legally,__label__2
way to close for comfort he’s been living here no visa so he came in illegally across our porous border not only a threat to us in phx but throughout usa wakeupamerica - there are others here al-qaeda terrorist leader arrested in phoenix,__label__2
good grief thank gosh for our great law enforcement in arizona we are so close to the border of mexico and terrorist and drugs are coming through as the democrats fight about trump trying to drain the swamp back in dc,__label__2
thank you this information is very relevant to the case everyone knows all mothers here illegally dump their baby’s in trash cans let’s close the border now,__label__2
okay great - let's close the border keep the virus and illegals out of our country so we can fix america get our debt down,__label__2
good start let the crackdown on all sanctuary - outlaw - cities counties states finally begin hurry stop openbordersinc - americafirst,__label__2
this is what surrender to mass migration refugee resettlement racket openbordersinc looks like if you don’t like it help stop it,__label__2
nomorerefugees find that huge list that obama let in so they can be checked out and removed if necessary wearetakingamericaback,__label__2
another reason why we don't do not need to give invaders due process deportthemall,__label__2
deportthemall if they pass the bill defund virginia ⚖️🇺🇸,__label__2
the real new way forward is to deportthemall now,__label__2
deport these terrorists,__label__2
we only want to deport illegals and leftists the last part is me wishing,__label__2
it’s time to ask the unite states to not let some iranian artists who support the islamic republic’s thoughts come to the states we iranian people want them to be deported and let them come back to live with their leaders shahabhosseini deport,__label__2
ok i have a great idea let the military arrest them and deport them to iran they can raise hell over there,__label__2
we can't cannot because of people like you believe non-citizens here illegally deserve benefits along with legal citizens now if you fix our immigration laws deport those here illegally do something to address welfare fraud then yes it would be feasible to raise the poverty line,__label__2
your hateful acts at sotu address show you as the must unhinged and destructive house speaker in us history you lead dnc into an abyss of shameful behavior and we the people have had enough of democrats trump 2020 vote out all democrats deport illegal aliens,__label__2
if illegal aliens are paying taxes it’s because they have fraudulently stolen someone’s social security number just one more reason to deport them,__label__2
deport to china i hear wuhan is nice city this time of year,__label__2
just deport them all to israel they need to experience the joys of diversity,__label__2
so he is here illegally deport him,__label__2
fine deport them to somalia,__label__2
we need race conscious laws yes we need to keep the us white deport all illegals and anchor babies and allow white only immigration,__label__2
we need to deport these insane dem politicians trying to harm america with illegals traitors😡 definitely enemies of america/ns,__label__2
this 👆🏼 bansharia and deport all supporters,__label__2
should start taking away the anchor babies give the parents a choice take your little burrito go back to your own country voluntarily or we deport you your baby will be placed in foster care bet that would keep them from coming dropping their little 💩s on us soil😂,__label__2
are there no americans remaining in va vote these traitors of our laws and rights out of office illegals deserve to be deported not rewarded build the wall deport them all ❤️🇺🇸 maga,__label__2
deport all of them now,__label__2
deny citizenship round them up deport,__label__2
this code should go before any bill that goes to the congress the person s who submitting such bills has intentions those voting for them those breaking this code is the enemies within remove themfrom their position power deport/or prosecute immediately⚖️,__label__2
deport that pos,__label__2
you cannot reform radicalised terrorists deport the foreign offenders and life sentences for those born here,__label__2
gb is finally getting it deport your terrorists strip citizenship,__label__2
deport illegals who are in america illegally,__label__2
bullcrap deport illegals now no more sanctuary cities arrests all traitors to we the people,__label__2
no deport them,__label__2
please deport this isis sympathizer get them out,__label__2
jail everyone deport if appropriate,__label__2
ofcourse they should deport them being here is a prviledge,__label__2
they have to go we have enough issues with sanctuary cities we don’t need immigrants legal or illegal that may be a threat to us citizens either deport them or lock them up,__label__2
just because you keep saying doesn’t make it true it just makes you wrong but yes deport illegals,__label__2
then to prevent any russian meddling in the 2020 election it is time to require a realid or passport to vote realid is required to show citizenship status deport any non-citizens who attempt to vote no exceptions their family can go with them,__label__2
deport all who demand unconstitutional sharia law,__label__2
omg trump so reminds me of the mass murderer publicity seeking junkie ted bundy the publicity seeking bit is obvious bc trump is a narcissist the mass murders via the illegal aliens he has allowed in our country that he refuses to mass deport,__label__2
deport or put in prison,__label__2
no such thing as international law uk is a sovereign country deport people back to their country of origin passport they never try to come again,__label__2
you don't do not impeach someone who wasn't elected like the first lady we should however be able to deport those who immigrated to the us under false pretenses,__label__2
i demand we stop selling our country out to the globe remove and deport her immediately,__label__2
that's it exactly illegals are their new voting bloc to outvote americans votes so they are still cheating to win can't cannot we get rid of them and for heavens sake get your attention back on the border now they need 63 million ppl i'd i would say they are close,__label__2
i’m tired of democrats giving our hard earned tax money to illegals close the border please until this immigration issue is fixed,__label__2
russians closed their 2600 mile border with china too bad america can't cannot close our southern border drugs criminals pandemics three damn good reasons for a wall,__label__2
more than a dozen injured in attack in jerusalem at least one person is in a serious condition after a vehicle ran into pedestrians near an entertainment hub the terrorists hamas did it close the border,__label__2
well our pledged to close the border and deport illegals and hasn't done squat but talk loudly,__label__2
i'm i am an american healthcare is not at the top of my list reducing taxes drastically for poor and lower middle class is 1 if i didn't pay 25% of my income to taxes i'd i would have plenty of money for health care 2 close the southern border and reform the immigration system,__label__2
illegals have previously been caught wearing camouflage to try to evade border patrol border patrol has saved over 5 700 people from human traffickers just last year both democrats republicans not doing their jobs to close border have allowed human traffickers illegals in,__label__2
what rule of law zero immingration close the border fuck them then are not citizens we owe them nothing,__label__2
it is designed to protect is from economic migrant africans bringing zero regard for life culturally disease aids ebola leprosy parasites they do not see women as human they kill christians are unlearned unskilled they cannot be vetted and we are full up,__label__2
ilhan omar blames america for all global disasters when we see refugees - we don't do not ever pause to think what american policies caused them to come here deportthemall refugeesnotwelcome gohome via,__label__2
except we already know that certain 'groups' are way above the law like how our immigration law is broken by lt cough gt trans individuals yet we can't cannot deport them and they are given 'special' treatment,__label__2
at the same time if he was released he would potentially kill someone cannot deport they always come back find an island place ppl like them there deserted survive or die,__label__2
it’s hard to end wars and be a commander when the democratic controlled house won’t lift a finger to help or help build a wall or kill terrorist or save healthcare or deport criminals or help with opioids or help with infrastructure the do nothing democrats,__label__2
we will see more of this if new way forward bill being secretive about passes allows criminal illegal immigrants rights make impossible to deport them taxpayers pay for them to come back into our country 😡 secret bill will kill more americans,__label__2
oh mydespicable people …could they be muslim cultural enrichers those we have to be oh so careful of offending the uk needs to deport all of them out of the country,__label__2
why do they still have drivers and security thought they wanted normal life trump should deport him,__label__2
because the politicians want immigrants here i just haven't 100% decided why yet we have the power to deport we could detain them we could even execute them but our politicians reward them with better treatment than they give us and using our money to do it,__label__2
europe will hopefully learn before too late deport them,__label__2
and legal americans spend over $100 billion of hard earned money on illegal immigrants so they are a burden on us deport them,__label__2
close the border finish the wall stop birthright citizenship there is nothing comical about ilhan omar she is a venomous anti-american and anti-semite,__label__2
i just know that if england decided to close off the border with scotland they'd be sitting in the cold writing us letters by candlelight begging us to send them food fresh water and electricity,__label__2
please close the texas border we don’t need virus carriers to illegally cross and damage texas protect us,__label__2
we need real controls and the power to refuse as well as accept we have the lowest refusal rate in europe literally less than 100 get sent back out of thousands we have an economic migrant problem not a refugee problemif you want to move to ireland apply for a visa and qualify,__label__2
good nobody working for ice should have to worry about having their and their families identities exposed to the abuse and violence of the looney open border radicals both foreign and domestic openborders openbordersinc abolishice socialism antifa,__label__2
on had a great piece on the cost of 25 million estimate illegals per year in the trillions deportthemall,__label__2
those jobs would have still been held and taxes paid even if the illegals weren't here so the point is irrelevant at least if the illegals were deported the taxes would have been paid by people who weren't criminals deportthemall,__label__2
what about being humane toward their victims deport,__label__2
you really must stop talking bollocks we can't cannot do much about british criminals apart from putting them in prison but we should be able to deport foreign ones thereby lessening those going back on our streets,__label__2
no i say prove it or deport her,__label__2
please close our borders build the wall bann islam sanctuary cities shriea law deport all 24 million illegal aliens in this country see that the swamp has equal justice for their crimes,__label__2
deport her for anti american views,__label__2
how long will this lawlessness be allowed to go on americafirst 🇺🇸 we must deport those who are here illegally - now greatawakening why enact laws if they're they are not to be followed nationalsovereignty 🇺🇸,__label__2
trump is the one who does not belong in trump's america deport him and his family to russia or north korea and return america to all americans,__label__2
us should adopt the policy of pakistani interior minister rehman malik and make illegal immigrants register or leave and deport them also us should make getting citizenship very restrictive like pakistan also us should be muslim nation,__label__2
what about the pedophiles who rape children we shouldnt deport them because reasons understand that you keep hammering on the fact that we should not deport pedophiles,__label__2
nope deport them they should have thought about the consequences,__label__2
those islamists who wants america as their home - and deport at once all islamists as well as all islamomarxists who resist their american-acculturation that or our usa-beloved would suffer metastatic-cancer s of the most-aggressive type s,__label__2
close the border forever,__label__2
when can we just close the border for two years,__label__2
close the border the entire border there is nothing from mexico that law-abiding citizens can't cannot live without,__label__2
house democrats pass bill allowing illegal immigrants to seek damages from employers - democratsloveillegalaliens democrats democratshateamerica democratshateamericans deportthemall walkaway election2020 stopvotingfordemocrats democratsareinsane,__label__2
if ur educated than what the hell nato ur great satan dose in many country u loser bye blocked motherf such a loser like u i never seen thid dis holi shit wolrd the mosnters trump have to deport u to china u deseve to be killed by dicators in china,__label__2
we need to deport all illegals we need more that 400 illegals deported each week we need 100 000 every week if we hope to make a dent that would allow our illegal population to be normalized in about 5 yearsthe funds you save in subsistence will more than pay,__label__2
wow who are these people can we deport them to china they might learn something,__label__2
lindsay is my us senator here in south carolina we are overwhelmed in south carolina with illegal immigrants and muslims that lindsay refuses to deport he's he is not just worthless he's he is deep state one more thing i live in a corrupt state,__label__2
deport terrorists and save money 👍,__label__2
if they have it remove uk citizenship and then deport them,__label__2
can we deport her now,__label__2
deport the criminal to the jordanian king as a diplomatic gift the king will invite the isis lover to a islamic state bbq,__label__2
i disagree with you and i would like to deport quite a few others who were in fact born in this country but appear to hate it although i notice they don’t hate it quite enough to go elsewhere,__label__2
invaders from the south are the greatest legal sociological economic threat we face whatever it takes to keep people out is what we must do build the wall crush sanctuary jurisdictions deport illegals the work must continue trump 2020,__label__2
they should deport all these people to iran,__label__2
we just need to let them fight it out themselves we must deport all muslims from our country ban anymore coming we simply don't do not need them with a cost this high lord i pray for the families of those killed wounded for peace the full recovery of those wounded amen,__label__2
what is inhumane is keeping a fox in a hen house we must deport criminals even people who came here legally if you are not a citizen or permanent legal alien and you commit a crime a crime deported,__label__2
another cool day in the socialist republic of fayetteville nc where illegals are illegally protected by this sanctuary and which i am being harassed constantly by city government unfairly of course illicitly and illegally unconstitutional arrest all illegals and deport,__label__2
the biggest mistake is taking them to a depleted judiciary why not deport and their belongings used for reparation,__label__2
coup collaborators must be tried outsourced to jails i siberia of africa near the equator can we revoke their citizenship deport them 4 life,__label__2
potus please dont let congress make it legal for illegal aliens to come here and cant be deported even if they are felons please close our borders deport 24 million illegals already here,__label__2
deport them to their country of origin a lot of the illegal immigrants have travelled thousands of miles at high expense and getting sent back to their origin will likely make a return trip overwhelming they go through a lot to get here make the whole process more difficult,__label__2
deport them it's it is inhumane on the rest of us to keep them,__label__2
good deport all illegal parasites,__label__2
mr president one last thought i agree with rush limbaugh close the southern border completely pending re-winning the house and rewriting our imigration laws americans love imigrants but not illegals the cost to our country is unsustainable god speed sir,__label__2
agree usa must stop amnesty close the border corrupt politicians will one day face serious consequences,__label__2
we're we are there [afghanistan] so they won't will not be here poppycock it's it is not like your son/daughter are there close the border get traitors out of dc get warmongers/$$$hounds out of politics tyvm for all you do but is a snake,__label__2
call your congressman congresswoman to close us border completely if china still continues covering up of the coronavirus 2019_ncov,__label__2
we get the worst new yorkers down here they are despised by native floridians we’d close the border to them if we could,__label__2
xijinping has a cold or some sort of virus wuhan wuhanpneumonia wuhancoronavirus chinacoronavirus chinalies 2019ncov carrielam close the damn border between hongkong and china ccpchina tell your puppet to close border maga2020 americafirst resigntomperez,__label__2
one thing that makes sense the accusation that china now trying to spread the coronavirus across taiwan would add up is because lam won't will not close the hk/chn border,__label__2
sacrifice i can’t see china sacrificing anything they spread the virus and now they request other countries not to close the border is this saving the world,__label__2
true but then he would be a politician like all the others let him tweet and let america keep winning oh and close the border,__label__2
why is an al-qaeda leader in your state close the border,__label__2
stop openbordersinc,__label__2
how is that possible illegal aliens are ineligible to work in america making them criminals again deportthemall,__label__2
corona virus update pandemic is making nationalism go viral 2-8-20 via yellowvests lesgiletsjaunes macron chemnitz afd austria defendeurope antiimmigration euroskeptic migrants lawandorder,__label__2
back to work and geterdone deport them all,__label__2
repeal the stupid laws the left agenda put in place including drivers licenses for illegals what you need to do is promote a program to legalize them on their dime if they can't cannot be legalized deport them use all that money to improve safety put americans first,__label__2
i'd i would say deport him back to canada but i'm i am sure they don't do not want him either,__label__2
thank you ice for the incredible job you do in not only protecting us from illegal scumbags too bad you can't cannot deport the demonrats that help them endanger american citizens,__label__2
stand your ground we are one together against the evils of the third world fugha muslim deport them all,__label__2
deport these unamerican humanimalslet them try their shit in the third worldlol,__label__2
they should deport them all you idiot,__label__2
close the border before its too late,__label__2
president trump will not invade canada to remove isis terrorists what he could do is close the border between canada and the us we have our own terrorists here to deal with my intention is not to argue or disrespect each country's citizens have fight their own political wars,__label__2
deport now oh guess what their country doesn’t want them back,__label__2
sean paul best run the tune deport them,__label__2
i believe indonesia is a muslim country therefore deportation there would be a death sentence so deport it,__label__2
have you seen the crimes they've committed deport them no use to us or our society let their country of birth look after them,__label__2
we can deport the terrorist to america and she can be sentenced to the death row,__label__2
deport all non-nationals who have committed serious crimes i don't do not care if they were babies when they arrived,__label__2
deport it’s not inhumane what was inhumane is what these criminals commit in this country woke culture will end this once great nation 🤷🏼‍♂️,__label__2
considering he wasn't born here and has had a few run ins with the law can't cannot we deport him,__label__2
shame we can’t deport these characters,__label__2
deport foreign criminals,__label__2
deport them and make them serve their whole sentence in a albanian prison simple,__label__2
no deport next question,__label__2
then deport all immigrants with a criminal record should automatically be deported after serving there sentence,__label__2
the sooner the pm keeps his promises boris johnson to adopt the australian immigrantion policy the better make these muslims serve out their full sentence for terror offences upon release deport them like the australians do britain will be a better place without them,__label__2
deport the pair of them,__label__2
see your point david but she also had bangladesh citizenship the problem that we are facing if all this continues and i'm i am talking more on the point of men our prisons are over run as it's it is so yes deport non british born criminals otherwise what do we do when prisons are full,__label__2
think they should deport everyone that does a crime here that had a foreign passport lots might not agree but that's my opinion 💙,__label__2
no lets deport these criminals are uk labour now this stupid to go against sensible policies they introduced,__label__2
not only should they deport them they should deport anyone who supports their remaining here illegally,__label__2
deport them they are criminals and came here to trash our country no excuses no sympathy just get rid of the problem once and for all,__label__2
asset strip and deport the lot of them,__label__2
deport them they are scumclean up the uk,__label__2
this country is in a crisis regarding pakistani rape gangs of that there is no doubt so let’s not call these people asians i am seriously concerned that the home office has not already started to deport these peadophiles already,__label__2
which planet are you living on these criminals committed crimes here but are still classed as foreign the bang them up and then deport them and their immediate family watch the crime rate plummet when they know they and their family are at risk,__label__2
retweet if you think we should deport matty soon as possible snowflakedeportation,__label__2
find a way to deport any illegal and any eu national that has not worked and paid continuously into ni for 20 of the last 24 months - detection to deportation in less than 10 hours,__label__2
about time we focused on the victims of crime not the perpetrators deport,__label__2
deport all foreign criminals why ever would we not,__label__2
kickthemout deport and put in place means to ensure they never return,__label__2
perhaps we crowdfund a dual citizenship deprive him of his british status and deport him simples,__label__2
cant we hang these ppl if they were not born here can we deport these fundamentalists seriously this country and europe have slacked so much with their liberal human rights nonsense we have allowed this cancer to spread,__label__2
jail and deport is not a hard policy to put into effect no sane person can argue against it not even the leftard bed wetters surely,__label__2
bollox deport them all let their own country take them in fact you can go with them,__label__2
any other country would deport a foreign criminal if it could what do they give to society anyway they just cost innocent people financially and mentally,__label__2
deport if they don't do not like the uk and it's it is western values why are they here apart from money,__label__2
we must stop this outrage deport deport deport watch another grooming gang - how many will it take on youtube,__label__2
all criminals so deport them,__label__2
deport these criminals at the end of their sentence,__label__2
yes deport them if they are foreign,__label__2
arrest them all for treason and deport,__label__2
they should not be here deport them,__label__2
deport them back,__label__2
i am a liberal that agrees to deport stop saying its liberals when its people from both sides,__label__2
deport every single foreign criminal illegal immigrants included,__label__2
anyone that suggests we shouldn't should not deport foreign criminals really are the epitome of stupid we have enough problems in the uk as it is,__label__2
nealy miss read that of course they should be deported it's it is shouldn't should not be so hard to deport foreign criminals we've got enough of our own with out taking on other nations,__label__2
send them back across the channel and close our border or they will keep coming we are full put the closed sign up,__label__2
international law may disagree but if you pass through europe to claim asylum in a country where you know you can get the most benefits/housing then i’m going to call bullshit on that and call you an economic migrant why do you think they chose the uk they want the money,__label__2
deport his leader he's he is just a tax evading yank,__label__2
yes deport all criminals to their ancestral homelands immediately after all britain is a horrible racist country,__label__2
about bloody time don’t talk about it just get on with it we have been saying this for years these migrants have passed through loads of safe countries to get here no benefits no housing and deport back to france who we are paying millions to stop these from coming here,__label__2
i don't do not care if immigrants claim their families live here i would deport them all,__label__2
absolutely redick no one wants scum like that here we want our families to be safe that’s not being racist that’s being honest lol i say definitely deport them all,__label__2
just deport them now,__label__2
next load of doctors and engineers not full grown men - each one willing primed to deceive to stay by those ngos over in france telling them how to fool our asylum process send them back its cheaper and safer in the long run deport sendthemback,__label__2
oh yes deport them all,__label__2
albania isn't part of the eu - they are illegal criminals deport immediately after sentence - or better still let them serve their sentence there,__label__2
deport after full 15yr prison sentence😠😡🤬,__label__2
oh and deport whenever appropriate and they can serve their sentence in their own country instead of our tax payers having to keep them,__label__2
labour are an irrelevance so ignore their anti british whining deport these scumbags who only have themselves to blame for breaking the law in the first place,__label__2
if they have dual nationality revoke uk citizenship of their entire families and deport all of them on the grounds that the family are potentially complicit let's not leave children or siblings here to continue the hatred deport them all these lawyers are aiding abetting,__label__2
the answer is simple but nobody has got the guts to do it trace them round them up and deport every single one of them in double quick time no appeals no pleas arrest airport gone simple as that,__label__2
gooddeport the bastard now 👍,__label__2
more vile paedophiles failed asylum seekers why are they still here deport now enough is enough only 4 of glasgow’s 71 muslim refugee child rapists have gone to prison,__label__2
if they are dual nationals - immediately deport them if they are british citizens - lock 'em all up together and throw away the key,__label__2
deport the lot of them anyone charged with terror offences deport everyone in there family then they will know there will be consequences after they have departed this earth for hell,__label__2
i agree in fact i'd i would go further do not the right of the innocent victims of terrorist attacks matter more save them from the grave i find it incredulous that the families never know anything for those with dual nationality i say revoke citizenship deport whole families,__label__2
i would deport to parents country of origin or even grandparents in fact i wouldn't would not even land the plane i'd i would just dump them at 200 feet,__label__2
will have to build additional prisons to house them or if they’re from another country deport them to serve time in the home country making sure to place them on a banned list,__label__2
hang them deport them after full sentence served dont care which why the hell should we have to use taxpayers money to keep them in comfort for all those years,__label__2
waste of money trying to reform them just imprison and then deport,__label__2
wrong and nieve you cannot deradicalise those that want to destroy our culture and way of life prison then deport,__label__2
this is illegal and has a name apartheid instead of segregation i vote for removal nay expulsion of all members of all faiths and none who threaten the safety of the peaceful people of the uk and have alternate nationalities revoke citizenship and deport,__label__2
their not worth the shot deport them after branding or tattooing their foreheads so the can be identified easily in the future people will be able to see what they are if they are marked,__label__2
agree but i’d go one step further if they even 1st or 2nd generation british citizens strip them of their citizenship and deport them back to their country of family origin being british should be a privilege not a mask to maim or kill,__label__2
this is khan's london he has to go boris you have to get tough on terrorism and get a new mayor any terriost deport them no terriost should ever be allowed on our streets again their has to be more police not just london but ever town city even villages,__label__2
just deport them let someone else be responsible for them,__label__2
why oh why are we allowing terrorists out if we’re so afraid they are not rehabilitated that we need to put them under surveillance lock them up or deport,__label__2
we should lock them all up or deport them stop letting them into this country and if they were born here lock them up in a specially made building just for them they shouldn't should not be walking around the streets until they hurt or kill someone it's it is just stupid,__label__2
if anyone commits a crime in this country in the name of extremism then deport them they can go follow their beliefs elsewhere make sure their families go too,__label__2
identify them maybe by installing chips as horses other pets have then deport them to serve their sentences in their homelands any attempt to re-enter the uk by normal means would be picked up by scanners in the ports,__label__2
could be just deporting these people the vast majority have multiple nationalities just revoke their citizenship and deport if you attack the uk you certainly don’t deserve to keep it’s protection,__label__2
put them prison or deport them or better still put them down,__label__2
bring in more laws for- immediate deportation no appeal no prison 1 guilty 2 deport = safer uk,__label__2
deport the islamists their extended families,__label__2
morning u stil propping up my vote was 4 sovereignty own laws hopefully end to 3rd world immigration entice people from all over world with skills to help our economy deport all who shouldn’t b here criminals stop paying £1b month after trans take back our fishing,__label__2
maybe you guys can deport all the cultural enriching middle easterns now,__label__2
at last channel migrants will be sent back to france with no uk asylum javid warns these are economic migrants and not refugees we should not be encouraging people to make the journey we will of course accept genuine refugees but not these migrants,__label__2
for the uk national security u must declare the muslim brotherhood as terrorist organization freeze their assetsif there is any red ticket fm egypt deport them 💔😠😡,__label__2
when are they going to deport ids back to the colostomy bag he originated from,__label__2
why are they allowed into the country not eu citizens deport,__label__2
i'd i would deport all illegals all foreign criminals and their families and all unemployed immigrants too,__label__2
deport deport deport there’s no hostile environment in uk as long as foreign nationals who live here abide by british law rule work integrate into british society save 14 yrs of tax payers money kick him out now,__label__2
deport them and stop the crime,__label__2
you are so wrong matthew they are old enough to know right from wrong so why should we put up with them what if a member of your family was killed by one i don't do not think you'd feel so sympathetic to them then they have no morals at alldeport,__label__2
deport or hang either way get rid of them,__label__2
if they were not born in the uk then they should be deported if that option is available if they are law abiding then they are welcome but if they break the law then why not deport them,__label__2
if foreign nationals have dual passports or illegals deport them deal with british national rapists by very lengthy prison sentences chemical castration on these vile sub humans stop pussy footing around their ethnicity it’s not racist/islamaphobe to call them out,__label__2
no they shouldn't should not be in our jails either deport the sodding lot,__label__2
the only disgraceful thing about this is the fact it took ten years to deport him unless he was banged up for ten years,__label__2
umm fuck it let em go why is someone stopping them infact deport them aswell,__label__2
if they ain’t legal british citizens then deport them 🤷🏻‍♂️🇬🇧 easy,__label__2
deport the nasty low life scroats,__label__2
closed borders does make a difference as people are more safe and mass migration is more controlled with closed borders we'll be able to check who's coming in with pervious crimes and deport anyone who causes chaos,__label__2
ideally we'd deport anyone who has a negative impact on our society but we can't cannot do that with people who were born here if they weren't however we should deport them i'm i am sorry but i don't do not particularly care about their feelings,__label__2
deport the fukin lot they are not immigrants they are not running from war they are not from the eu send them back,__label__2
stop these unwanted invaders kick them out france is aiding them to get here deport all criminals anyone caught with isis sympathy you deport the whole family islam will never integrate they have said so,__label__2
ffs try getting rid of them deport the scumbags anywhere they want to go,__label__2
i totally agree deport them,__label__2
deport them and their families,__label__2
no they should be deported they would readily kill people on the streets stop this and deport,__label__2
if people commit crime especially serious crime and we can deport then and make this country safer let's do it no one forced them to be a criminal it was a career choice since when did we take into account feelings of criminals over victims,__label__2
why are our taxes used to keep scum like this in our prison hotels deport them to their own country,__label__2
deport them or you house them and pay for all the thieving and raping they will continue to do,__label__2
you’re miles out with this definitely deport them,__label__2
deport all the illegals khan then there’ll be plenty of housing available simple really,__label__2
at 15 i joined the air cadets and learned life skills i did not marry a jihadi thus making myself an enemy of the state by extension either bring back the death penalty for pigs like her or deport the bitch,__label__2
all those who go an train to fight fight against our troops or their allies in another country should lose they citizenship and never be allowed to return and i would also deport their families as a deterrent because they don't do not care about themselves,__label__2
i’ve corrected it for the poisoned dwarf this is getting urgent today’s government figures show that 15% of eligible european londoners are yet to apply to the eu settlement scheme the government must act immediately to deport those who have not applied no need for thanks,__label__2
let's deport them back there then,__label__2
deport where ever possible those who enter this country illegally overstay or commit serious crimes and any who are on watch lists,__label__2
until labour complain it's it is too long to be locked up 😡 just deport them immediately,__label__2
tell you what why don't do not you go and join her she knew exactly what she was getting into she also knew the consequences of such actions she should never be allowed to set foot on british soil again same for all the terrorists pack up and deport grow up you melt,__label__2
deport him and his entire family ✊,__label__2
dunphbeing born in a horse box doesn't does not change you into a horse nor does being born in england make you english genes make you what and who you are deportdeportdeportrepatriaterepatriaterepatriate,__label__2
say it boris and do it boris the uk is not a funnel for the entire world’s economic migrant population it’s like this i can’t break into live in someone else’s house just ‘cos i like theirs better the uk is just seen and always has been as a soft touch which is why,__label__2
deport them all stop the benefits if any woke or snowflake protests make them pay for the migrants they may change their tune,__label__2
